	LSIE_05 INDOOR				video part 1 duration: 		video part 2 duration:															
		0:13:55.568	0:14:44.344	884.344207	Behavioral Event 	Purposeful 	Subject lifts right arm	duration on	"(Event/Category/Participant Response, Participant/Action/Body Part/Arm/Right/Lift, Onset)"	ArmLiftRON												
	0:33:05.472	0:13:56.212	0:14:44.988	884.988007	Behavioral Event	Purposeful	Subject hums	duration on	"(Event/Category/Participant Response, Participant/Action/Type/Hum, Onset)"	ActHumON												
		0:13:56.636	0:14:45.412	885.412207	Behavioral Event 	Purposeful 	Subject lifts right arm	duration off	"(Event/Category/Participant Response, Participant/Action/Body Part/Arm/Right/Lift, Offset)"	ArmLiftROFF												
		0:13:56.770	0:14:45.546	885.546207	Behavioral Event	Purposeful	Subject dancing on treadmill (bouncing steps)	duration on	"(Event/Category/Participant Response, Participant/Action/Body Part/Legs, Onset)"	ActDanceLON												
		0:14:03.076	0:14:51.852	891.852207	Behavioral Event	Purposeful	Subject dancing on treadmill (bouncing steps)	duration off	"(Event/Category/Participant Response, Participant/Action/Body Part/Legs, Offset)"	ActDanceLOFF												
	0:33:32.356	0:14:23.096	0:15:11.872	911.872007	Behavioral Event	Purposeful	Subject hums	duration off	"(Event/Category/Participant Response, Participant/Action/Type/Hum, Onset)"	ActHumOFF												
	0:33:32.356	0:14:23.096	0:15:11.872	911.872007	Scenario Event 	Verbal Cue	"Experimenter says ''Try to stay centered on the treadmill"""		"(Event/Category/Experimental Stimulus/Instruction, Object/Complex/Person/Experimenter/1, Sensory Presentation/Auditory/Real World Sounds/Human Voice, Participant/Effect/Auditory)"	AudExp1												
	0:33:35.562	0:14:26.302	0:15:15.078	915.078007	Environmental Event	Distractor	Subject looks at ground below screen (proximity=near)	duration on	"(Event/Category/Real World Stimulus, Object/Complex/Ground, Sensory presentation/Visual, Participant/Effect/Visual/Foveal, Onset)"	ObjVFON12												
	0:33:36.765	0:14:27.505	0:15:16.281	916.281007	Environmental Event	Distractor	Subject looks at ground below screen (proximity=near)	duration off	"(Event/Category/Real World Stimulus, Object/Complex/Ground, Sensory presentation/Visual, Participant/Effect/Visual/Foveal, Offset)"	ObjVFOFF12												
	0:34:38.181	0:15:28.921	0:16:17.697	977.697007	Behavioral Event	Purposeful	Subject hums	duration on	"(Event/Category/Participant Response, Participant/Action/Type/Hum, Onset)"	ActHumON												
	0:35:15.252	0:16:05.992	0:16:54.768	1014.768007	Behavioral Event	Purposeful	Subject hums	duration off	"(Event/Category/Participant Response, Participant/Action/Type/Hum, Onset)"	ActHumOFF												
	0:35:41.034	0:16:31.774	0:17:20.550	1040.550007	Behavioral Event	Purposeful	Subject hums	duration on	"(Event/Category/Participant Response, Participant/Action/Type/Hum, Onset)"	ActHumON												
	0:35:53.558	0:16:44.298	0:17:33.074	1053.074007	Behavioral Event	Purposeful	Subject hums	duration off	"(Event/Category/Participant Response, Participant/Action/Type/Hum, Onset)"	ActHumOFF												
	0:36:12.260	0:17:03.000	0:17:51.776	1071.776007	Environmental Event	Distractor	Subject looks at dark flag to left (proximity=near)	duration on	"(Event/Category/Real World Stimulus, Object/Complex/Flag, Sensory presentation/Visual, Participant/Effect/Visual/Foveal, Onset)"	ObjVFON13												
		0:17:03.189	0:17:51.965	1071.965207	Behavioral Event 	Purposeful 	Subject lifts both arms to ask for water	duration on	"(Event/Category/Participant Response, Participant/Action/Body Part/Arm/Both/Lift, Onset)"	ArmLiftBON												
	0:36:13.830	0:17:04.570	0:17:53.346	1073.346007	Environmental Event	Distractor	Subject looks at dark flag to left (proximity=near)	duration off	"(Event/Category/Real World Stimulus, Object/Complex/Flag, Sensory presentation/Visual, Participant/Effect/Visual/Foveal, Offset)"	ObjVFOFF13												
		0:17:07.727	0:17:56.503	1076.503207	Environmental Event 	Distractor	Experimenter talking in background	duration on	"(Event/Category/Real World Stimulus, Object/Complex/Person/Pedestrian, Sensory Presentation/Real World Sounds/Auditory/Human Voice, Onset)"	AudON4												
		0:17:09.095	0:17:57.871	1077.871207	Environmental Event 	Distractor	Experimenter talking in background	duration off	"(Event/Category/Real World Stimulus, Object/Complex/Person/Pedestrian, Sensory Presentation/Real World Sounds/Auditory/Human Voice, Offset)"	AudOFF4												
		0:17:11.664	0:18:00.440	1080.440207	Behavioral Event 	Purposeful 	Subject lifts both arms	duration off	"(Event/Category/Participant Response, Participant/Action/Body Part/Arm/Both/Lift, Offset)"	ArmLiftBOFF												
	0:36:26.554	0:17:17.294	0:18:06.070	1086.070007	Environmental Event 	Distractor	Clunk heard in background		"(Event/Category/Real World Stimulus, Object/Complex/Unknown, Sensory Presentation/Auditory/Real World Sounds)"	Aud5												
		0:18:09.322	0:18:58.098	1138.098207	Behavioral Event 	Purposeful 	Subject turns head		"(Event/Category/Participant Response, Participant/Action/Body Part/Head/Turn)"	HeadTurn												
	0:37:18.620	0:18:09.360	0:18:58.136	1138.136007	Scenario Event 	Verbal Cue	"Experimenter says ''You want water after the swab?"""		"(Event/Category/Experimental Stimulus/Instruction, Object/Complex/Person/Experimenter/1, Sensory Presentation/Auditory/Real World Sounds/Human Voice, Participant/Effect/Auditory)"	AudExp2												
		0:18:10.423	0:18:59.199	1139.199207	Scenario Event/Behavioral Event	Non-Verbal Cue/Purposeful	Saliva swab inserted/Subject opens mouth	duration on	"(Event/Category/Experimental Procedure/Swab, Object/Complex/Saliva Swab, Participant/Action/Body Part/Mouth/Open, Participant/Effect/Taste, Onset)"	SWABON												
		0:19:52.392	0:20:41.168	1241.168207	Behavioral Event 	Purposeful 	Subject lifts left arm	duration on	"(Event/Category/Participant Response, Participant/Action/Body Part/Arm/Left/Lift, Onset)"	ArmLiftLON												
		0:19:53.293	0:20:42.069	1242.069207	Behavioral Event 	Purposeful 	Subject lifts left arm	duration off	"(Event/Category/Participant Response, Participant/Action/Body Part/Arm/Left/Lift, Offset)"	ArmLiftLOFF												
		0:20:10.577	0:20:59.353	1259.353207	Scenario Event/Behavioral Event	Non-Verbal Cue/Purposeful	Saliva swab removed/Subject opens mouth	duration off	"(Event/Category/Experimental Procedure/Swab, Object/Complex/Saliva Swab, Participant/Action/Body Part/Mouth/Open, Participant/Effect/Taste, Offset)"	SWABOFF												
		0:20:38.471	0:21:27.247	1287.247207	Behavioral Event 	Purposeful 	Subject turns head		"(Event/Category/Participant Response, Participant/Action/Body Part/Head/Turn)"	HeadTurn												
		0:20:38.938	0:21:27.714	1287.714207	Behavioral Event	Purposeful	Subject grabs water bottle	duration on	"(Event/Category/Participant Response, Object/Complex/Water Bottle, Sensory Presentation/Visual, Sensory Presentation/Tactile, Participant/Action/Type/Body Part/Hand/Left/Grab, Onset)"	ActGrabL1ON												
		0:20:39.839	0:21:28.615	1288.615207	Behavioral Event 	Purposeful 	Subject lifts right arm	duration on	"(Event/Category/Participant Response, Participant/Action/Body Part/Arm/Right/Lift, Onset)"	ArmLiftRON												
		0:20:46.312	0:21:35.088	1295.088207	Behavioral Event	Purposeful	Subject drinks water	duration on	"(Event/Category/Participant Response, Object/Complex/Water Bottle, Sensory Presentation/Visual, Sensory Presentation/Tactile, Participant/Action/Type/Body Part/Arm/Left/Lift, Participant/Action/Swallow, Onset)"	ActDrinkLON												
		0:20:48.715	0:21:37.491	1297.491207	Behavioral Event 	Purposeful 	Subject lifts right arm	duration off	"(Event/Category/Participant Response, Participant/Action/Body Part/Arm/Right/Lift, Offset)"	ArmLiftROFF												
